Network_Station,Phase,Arrival_Time,Confidence
KS.BOHB,P,2026-03-11T09:06:04.950000Z,0.8681
KS.BOHB,S,2026-03-11T09:06:05.630000Z,0.8395
KS.BURB,P,2026-03-11T09:06:18.548400Z,0.8728
KS.BURB,S,2026-03-11T09:06:42.938400Z,0.8198
KS.BUS3,S,2026-03-11T09:06:59.788400Z,0.7239
KS.CEA2,P,2026-03-11T09:06:25.258400Z,0.9571
KS.CEA2,S,2026-03-11T09:06:57.318400Z,0.7605
KS.CGUB,P,2026-03-11T09:06:18.658400Z,0.7671
KS.CHCB,S,2026-03-11T09:06:42.030000Z,0.7640
KS.CHJ3,S,2026-03-11T09:06:40.368400Z,0.8377
KS.CHYB,S,2026-03-11T09:06:17.798400Z,0.7474
KS.CPR2,S,2026-03-11T09:06:49.948400Z,0.7831
KS.CWO2,P,2026-03-11T09:06:21.968400Z,0.8251
KS.CWO2,S,2026-03-11T09:06:51.458400Z,0.7648
KS.DEI2,P,2026-03-11T09:06:36.578400Z,0.9219
KS.EUSB,S,2026-03-11T09:06:34.408400Z,0.7222
KS.GAPB,S,2026-03-11T09:06:50.070000Z,0.7548
KS.GDS5,P,2026-03-11T09:06:35.110000Z,0.8558
KS.GEJB,P,2026-03-11T09:06:14.818400Z,0.9409
KS.GEJB,S,2026-03-11T09:06:37.318400Z,0.7636
KS.GH2B,P,2026-03-11T09:06:32.488400Z,0.7425
KS.GH2B,S,2026-03-11T09:06:40.118400Z,0.7460
KS.GMHB,P,2026-03-11T09:06:23.918400Z,0.7291
KS.GMHB,S,2026-03-11T09:06:55.398400Z,0.7474
KS.HAWB,P,2026-03-11T09:06:29.550000Z,0.7682
KS.HAWB,S,2026-03-11T09:07:07.370000Z,0.8459
KS.HWDB,S,2026-03-11T09:06:52.668400Z,0.7720
KS.ICN2,S,2026-03-11T09:06:51.128400Z,0.7256
KS.IJS4,P,2026-03-11T09:06:16.310000Z,0.9617
KS.IJS4,S,2026-03-11T09:06:18.930000Z,0.8275
KS.IMSB,S,2026-03-11T09:07:15.038400Z,0.7470
KS.IMWB,P,2026-03-11T09:05:58.430000Z,0.9559
KS.IMWB,S,2026-03-11T09:06:04.370000Z,0.9368
KS.IYIB,S,2026-03-11T09:06:55.558400Z,0.7886
KS.JDGB,P,2026-03-11T09:06:07.610000Z,0.8208
KS.JDGB,S,2026-03-11T09:06:21.970000Z,0.8737
KS.JECB,P,2026-03-11T09:06:13.970000Z,0.8662
KS.JECB,S,2026-03-11T09:06:32.080000Z,0.8373
KS.JMJ2,S,2026-03-11T09:06:20.998400Z,0.8073
KS.JOGB,P,2026-03-11T09:06:03.300000Z,0.9027
KS.KESB,S,2026-03-11T09:06:47.860000Z,0.7398
KS.MUS2,S,2026-03-11T09:07:08.308400Z,0.7181
KS.NAMB,P,2026-03-11T09:06:11.448400Z,0.9483
KS.OADB,P,2026-03-11T09:06:11.610000Z,0.8799
KS.OADB,S,2026-03-11T09:06:29.020000Z,0.8217
KS.OGSB,S,2026-03-11T09:06:47.040000Z,0.7879
KS.OOJB,P,2026-03-11T09:06:04.900000Z,0.9382
KS.OOJB,S,2026-03-11T09:06:15.630000Z,0.8242
KS.PYCB,P,2026-03-11T09:06:26.278400Z,0.8985
KS.SAJB,S,2026-03-11T09:06:42.828400Z,0.8182
KS.SEO3,S,2026-03-11T09:07:03.168400Z,0.7603
KS.SESB,P,2026-03-11T09:06:33.590000Z,0.9229
KS.SH2B,P,2026-03-11T09:06:15.338400Z,0.9509
KS.SKC2,P,2026-03-11T09:06:12.508400Z,0.8179
KS.SKC2,S,2026-03-11T09:06:32.458400Z,0.7938
KS.SNGB,P,2026-03-11T09:06:01.338400Z,0.9527
KS.SNGB,S,2026-03-11T09:06:09.398400Z,0.9148
KS.SWO2,S,2026-03-11T09:07:01.678400Z,0.7288
KS.TANB,P,2026-03-11T09:06:37.568400Z,0.8984
KS.TBA2,S,2026-03-11T09:06:14.578400Z,0.7528
KS.ULDR,P,2026-03-11T09:06:05.218400Z,0.8783
KS.ULDR,S,2026-03-11T09:06:16.588400Z,0.8115
KS.YEAB,P,2026-03-11T09:06:09.638400Z,0.8048
KS.YEYB,P,2026-03-11T09:06:08.498400Z,0.8755
KS.YOCB,S,2026-03-11T09:06:40.608400Z,0.7304
KS.YODB,P,2026-03-11T09:06:07.518400Z,0.8949
KS.YOJB,P,2026-03-11T09:06:12.198400Z,0.8455
KS.YOJB,S,2026-03-11T09:06:28.598400Z,0.7900
